from,to,time,duration
TH,ARD,2014,2
TH,VEV,2016,NA
TH,VAG,2019,NA
SH,VEV,1997,NA
SH,VSD,NA,NA
SH,VRW,2006,NA
SH,SNP,2009,NA
SH,VAB,2011,NA
SH,VMG,NA,NA
SH,VBG,NA,NA
SH,WFV,NA,NA
SH,VAG,2015,NA
JR,SPC,1995,3
JR,IMG,2005,NA
JR,VMG,2006,NA
JR,VAG,2015,NA
OS,VWB,2012,2
OS,VEV,2014,NA
OS,VAG,2015,NA
OS,DFL,NA,NA
CV,RBG,NA,NA
CV,FHC,NA,NA
CV,MAG,NA,NA
CV,IGH,2010,NA
CV,VEV,2016,NA
CV,FPF,2017,NA
CV,VAG,2019,NA
WP,DBA,1985,NA
WP,DAG,2009,NA
WP,VAG,2014,NA
RA,DFB,1986,NA
RA,VAG,2020,NA
BG,HVP,1987,3
BG,VEV,2004,NA
BG,RCH,2012,2
BG,VAG,2017,NA
HJ,AFK,1991,NA
HJ,VAG,2014,NA
HO,VEV,1987,3
HO,TLG,1990,3
HO,VAG,2016,NA
FR,MBF,1993,NA
FR,MBB,2003,NA
FR,DAG,2007,NA
FR,VAG,2016,NA
FR,DMA,2019,NA
BS,RBG,1996,NA
BS,FCG,NA,NA
BS,VAG,2017,NA
