from,to,time,duration
TH,ARD,2014,2
TH,VEV,2016,4
TH,VAG,2019,4
TH,NLZ,2017,2
SH,VEV,1997,4
SH,VSD,NA,4
SH,VRW,2006,4
SH,SNP,2009,4
SH,VAB,2011,4
SH,VMG,NA,4
SH,VBG,NA,4
SH,WFV,NA,4
SH,VAG,2015,4
JR,SPC,1995,3
JR,IMG,2005,4
JR,VMG,2006,4
JR,VAG,2015,4
OS,VWB,2012,2
OS,VEV,2014,4
OS,VAG,2015,4
OS,DFL,NA,4
CV,RBG,NA,NA
CV,FHC,NA,NA
CV,MAG,NA,NA
CV,IGH,2010,4
CV,VEV,2016,4
CV,FPF,2017,4
CV,VAG,2019,4
WP,DBA,1985,4
WP,DAG,2009,4
WP,VAG,2014,4
RA,DFB,1986,NA
RA,VAG,2020,4
BG,HVP,1987,3
BG,VEV,2004,4
BG,RCH,2012,2
BG,VAG,2017,4
HJ,AFK,1991,4
HJ,VAG,2014,4
HO,VEV,1987,3
HO,TLG,1990,3
HO,VAG,2016,4
FR,MBF,1993,4
FR,MBB,2003,4
FR,DAG,2007,4
FR,VAG,2016,4
FR,DMA,2019,4
BS,RBG,1996,4
BS,FCG,NA,NA
BS,VAG,2017,4
